Параметр, Формат, Опис
.. _XAgreemDoc: , Об'єкт **XAgreemDoc** ,
body,"Map<Integer, byte[]>",тіло документа
indexes,"Map<String, String>","показник усіх та змінених позицій та позицій з підвищенням/зниженям ціни";
childs,List<XAgreemDoc>, дочірні документи;
id,long,id документу
uuid,UUID,GUID документу;
parentDocId,transient long,id батьківського документу; число
parentDocUUID,UUID,GUID батьківського документу;
sender,long,GLN відправника; число
recipient,long,GLN одержувача; число;
retailerId,long,id мережі (ритейлера); число
contractUUID,UUID,id контракту / договору;
status,XAgreemDocStatus_,статус узгодження; число та назва;
type,int,"тип документа (статус документообігу); '1-AGREEM; 2-AGREEM (Add SKU); 3-PRODLIST; 4-COMDOC '";
dateCreated,long,дата створення документа; число
dateChanged,long,дата зміни документа; число;
docDate,long,дата з документа; число
docNumber,String,номер документа

