Параметр, Формат, Опис
.. _XDistribexProduct: , Об'єкт **XDistribexProduct** ,
id,long,ідентифікатор запису
date_changed,long,дата внесених змін в дані товару
producer_id,long,ідентифікатор Виробника
product_id,long,ідентифікатор товару
unit_id,long,"ідентифікатор одиниці виміру; допустимі значення:

- 2 - кілограм;

- 8 - штука"
price_without_vat,Double,"ціна одиниці без ПДВ, грн"
vat,int,"ставка ПДВ, %"
price_with_vat,Double,"ціна одиниці з ПДВ, грн"
date_from,long,період дії з
date_to,long,період дії по
stock_balance,Double,залишок
comment,String,коментарі
quota,Double,квота на замовлення
is_promo,boolean,відмітка «Новинка!»
is_new,boolean,відмітка «Акція!»
is_public,boolean,відмітка «Публічна позиція!»
is_surcharge,boolean,відмітка «Надбавка!»
