Параметр, Формат, Опис
.. _XPriceListProduct: , Об'єкт **XPriceListProduct** ,
group_id,long,ідентифікатор групи
article,String,артикул
name,String,назва товару
barcode,String,штрихкод
user_code,String,код УКТ ЗЕД
unit_weight,String,"вага одиниці товару, кг"
box_qty,String,одиниць в коробці
box_weight,String,"вага коробки, кг"
box_in_layer,String,"кількість коробок в шарі, шт."
box_in_palette,String,"кількість коробок на палеті, шт."
palette_weight,String,"вага палети, кг"
producer_code,String,код Виробника
id,long,ідентифікатор запису
date_changed,long,дата внесених змін в дані товару
producer_id,long,ідентифікатор Виробника
product_id,long,ідентифікатор товару
unit_id,long,"ідентифікатор одиниці виміру; допустимі значення:

- 2 - кілограм;

- 8 - штука"
price_without_vat,Double,"ціна одиниці без ПДВ, грн"
vat,int,"ставка ПДВ, %"
price_with_vat,Double,"ціна одиниці з ПДВ, грн"
date_from,long,період дії з
date_to,long,період дії по
stock_balance,Double,залишок
comment,String,коментарі
quota,Double,квота на замовлення
is_promo,boolean,відмітка «Новинка!»
is_new,boolean,відмітка «Акція!»
is_public,boolean,відмітка «Публічна позиція!»

